reportname	category	reporttype	reporttitle	visible	containerpath	schemaname	queryname	viewname	report	datefieldname	todayonly	queryhaslocation	sort_order	QCStateLabelFieldName	description
activeAssignments	Assignments and Groups	query	Active Assignments	true		study	Assignment	Active Assignments		date	false	false		qcstate/publicdata	This report shows the active assignments for each animal
assignmentHistory	Assignments and Groups	query	Assignment History	true		study	Assignment			date	false	false		qcstate/publicdata	This report shows all assignments records for the animals
activeGroups	Assignments and Groups	js	Active Groups	true		study	underDevelopment	Active Members		date	false	false		qcstate/publicdata	This report shows the active assignments for each animal
groupHistory	Assignments and Groups	js	Group History	true		study	underDevelopment			date	false	false		qcstate/publicdata	This report shows all assignments records for the animals

#microbiology	Lab Results	query	Microbiology	true		study	Microbiology Results			date	false	false		qcstate/publicdata
#biochemistry	Lab Results	js	Biochemistry	true		study	bloodChemistry			date	false	false			Contains results of chemistry panels.  Can be displayed either by panel, or showing reference ranges
clinPathRuns	Lab Results	js	Lab Runs	true		study	underDevelopment			date	false	false		qcstate/publicdata	Contains all clinpath requests
#iStat	Lab Results	js	iStat	true		study	iStat			date	false	false		qcstate/publicdata	Contains iStat results
#hematology	Lab Results	js	Hematology	true		study	hematology			date	false	false			Contains hematology data showing cell subsets
#Immunology	Lab Results	js	Immunology	true		study	immunology			date	false	false			Immunology results showing lymphocyte subsets
#parasitology	Lab Results	query	Parasitology	true		study	Parasitology Results			date	false	false		qcstate/publicdata	Contains results of parasitology testing
#urinalysis	Lab Results	js	Urinalysis	true		study	urinalysisResults			date	false	false			Contains urinalysis results
#viralChallenges	Lab Results	query	Viral Challenges	true		study	ViralChallenges			date	false	false			This report contains a list of all viral challenges, determined by comparing against known SNOMED codes

miscTests	Lab Results	js	Misc Tests	true		study	underDevelopment			date	false	false		qcstate/publicdata	This report contains the misc lab results not represented in the other reports
#antibioticSensitivity	Lab Results	js	Antibiotic Sensitivity	true		study	antibioticSensitivity			date	false	false		qcstate/publicdata	This report contains the results of tests of antibiotic resistance
#serology	Lab Results	js	Serology	true		study	underDevelopment			date	false	false		qcstate/publicdata	This report contains the results of serology tests
virology	Lab Results	query	Virology	true		study	virology			date	false	false		qcstate/publicdata	Animal Virology History
clinCases	Clinical	js	Cases	true		study	underDevelopment	Active Clinical Cases		date	false	false		qcstate/publicdata	This report contains one record for each case opend for this animal, including surergies, exams, procedures, etc.
#encountersWithSnomedBySet	Pathology	query	SNOMED Codes - Grouped	true		study	encountersWithSnomedBySet			date	false	false		qcstate/publicdata	This report lists all SNOMED codes used in the animal\'s record

#surgery	Surgery	query	Surgeries	true		study	Clinical Encounters	Surgeries		date	false	false		qcstate/publicdata	This report contains one record for each encounter with each animal, including surgeries, exams, procedures, etc.
#surgery	Surgery	query	Surgeries Today	true		study	Clinical Encounters	Surgeries Today		date	false	false		qcstate/publicdata
#procedures	Clinical	query	Procedures	true		study	Clinical Encounters	Procedures		date	false	false		qcstate/publicdata
#procedureHistory	Surgery	query	Procedure Summary	true		study	proceduresPerYear			date	false	false		qcstate/publicdata	This report contains one record for each encounter with each animal, including surgeries, exams, procedures, etc.
#surgeryChecklist	Surgery	query	Surgery Checklist	true		study	surgeryChecklist			date	false	false		qcstate/publicdata	This report provides information intended to be reviewed prior to surgeries.
clinObs	Clinical	js	Observations	true		study	underDevelopment			date	false	false		qcstate/publicdata	This report contains one record for each encounter with each animal, including surergies, exams, procedures, etc.
