code	scientific_name	common_name	file_status
AFR	ATELES FUSCICEPS	COLUMBIAN B. SPIDER MONKEY	IN
AGE	ATELES GEOFFROYI	GOLDEN SPIDER MONKEY	IN
APA	ATELES PANISCUS	BLACK SPIDER MONKEY	IN
ATR	AOTUS TRIVIRGATUS	OWL MONKEY	IN
CAE	CERCOPITHECUS AETHIOPS	AFRICAN GREEN MONKEY	AC
CAL	CEBUS ALBIFRONS	WHITE-FRONTED CAPUCHIN	IN
CAP	CEBUS APELLA	BROWN-TUFTED CAPUCHIN	IN
CFU	CERCOCEBUS TORQUATUS ATYS	SOOTY MANGABEY	IN
CMA	CERCOPITHECUS M ALBOGULARI	SYKES MONKEY	AC
CMO	CALLICEBUS MOLOCH	TITI MONKEY	AC
CTA	CERCOPITHECUS TALAPOIN	TALAPOIN	AC
DOG	CANIS FAMILIARIS	DOMESTIC DOG	IN
EPA	ERYTHROCEBUS PATAS	PATAS MONKEY	IN
GCP	GALAGO CRASSICAUDATUS	GREATER GALAGO	IN
GSM	GALAGO SENEGALENSIS	LESSER GALAGO	IN
HLA	HYLOBATES LAR	WHITE-HANDED GIBBON	IN
LLA	LAGOTHRIX LAGOTHRICHA	BROWN WOOLLY MONKEY	IN
MCY	MACACA FASCICULARIS	CYNOMOLGUS MONKEY	AC
MFU	MACACA FUSCATA	JAPANESE MACAQUE	AC
MMA	MACACA MAURUS	CELEBES MACAQUE	IN
MMS	MACACA M. X SPECIOSA	ROCK RHESUS	IN
MMU	MACACA MULATTA	RHESUS MACAQUE	AC
MNE	MACACA NEMESTRINA	PIG-TAILED MACAQUE	AC
MRA	MACACA RADIATA	BONNET MACAQUE	AC
MSP	MACACA ARCTOIDES	STUMP-TAILED MACAQUE	IN
PAN	PAPIO CYNOCEPHALUS ANUBIS	OLIVE BABOON	AC
PCR	PRESBYTIS CRISTATUS	SILVERED LEAF MONKEY	IN
PCY	PAPIO CYNOCEPHALUS	YELLOW BABOON	AC
PPA	PAPIO PAPIO	WESTERN BABOON	IN
PSA	PAN SATYRUS	CHIMPANZEE	IN
SEN	PRESBYTIS ENTELLUS	ENTELLUS LANGUR	IN
SNI	SAGUINUS NIGRICOLLIS	BLACK-NECKED TAMARIN	IN
SSC	SAIMIRI SCIUREUS	SQUIRREL MONKEY	AC
TGE	THEROPITHECUS GELADA	GELADA BABOON	IN
XPA	PAPIO C. X ANUBIS	YELLOW X OLIVE BABOON	AC
