"ts"	"remark"	"taskid"	"parentId"	"date"	"QCStateLabel"	"Id"	"projectCode"	"projectedRelease"	"performedby"	"Description"	"account"	"requestid"	"enddate"	"protocol"	"assignmentStatus"	"projectProtocolAssignDate"	"projectProtocolRelDate"
"2010-05-24 14:29:32.0"	""	""	""	"2001-11-12 00:00:00.0"	"Completed"	"TEST3804589"	"5246167"	""	""	"donec turpis netus fringilla"	""	""	"2002-10-22 00:00:00.0"	"dummyprotocol"	"P"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2002-05-14 00:00:00.0"	"Completed"	"TEST3804589"	"5989505"	""	""	"phasellus hac metus non massa"	""	""	"2002-05-16 00:00:00.0"	"protocol101"	"S"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2003-05-12 00:00:00.0"	"Completed"	"TEST3804589"	"433621"	""	""	"ante nulla eu odio commodo inceptos"	""	""	"2003-05-13 00:00:00.0"	"protocol101"	"S"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2003-05-19 00:00:00.0"	"Completed"	"TEST3804589"	"5246167"	""	""	"tristique nulla urna dignissim"	""	""	"2004-01-15 00:00:00.0"	"dummyprotocol"	"S"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2004-01-26 00:00:00.0"	"Completed"	"TEST3804589"	"5709520"	""	""	"velit tempor eget turpis et"	""	""	"2004-04-20 00:00:00.0"	"protocol101"	"P"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2004-01-26 00:00:00.0"	"Completed"	"TEST3804589"	"4726399"	""	""	"pharetra donec tincidunt vel"	""	""	"2004-04-19 00:00:00.0"	"protocol101"	"S"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2004-05-13 00:00:00.0"	"Completed"	"TEST3804589"	"5709520"	""	""	"nisl rutrum et mollis malesuada"	""	""	"2004-11-03 00:00:00.0"	"dummyprotocol"	"S"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2004-05-13 00:00:00.0"	"Completed"	"TEST3804589"	"4726399"	""	""	"auctor laoreet hendrerit turpis"	""	""	"2004-07-23 00:00:00.0"	"protocol101"	"S"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2004-07-29 00:00:00.0"	"Completed"	"TEST3804589"	"4726399"	""	""	"quis congue ut nec sed eu nec"	""	""	"2004-11-03 00:00:00.0"	"protocol101"	"P"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2005-03-28 00:00:00.0"	"Completed"	"TEST3804589"	"1101324"	""	""	"non elit mus dolor vel ut risus"	""	""	"2005-04-01 00:00:00.0"	"dummyprotocol"	"S"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2005-05-20 00:00:00.0"	"Completed"	"TEST3804589"	"Pc5C1"	""	""	"bibendum mollis neque sit commodo"	""	""	""	"protocol101"	"P"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2005-05-20 00:00:00.0"	"Completed"	"TEST6390238"	"Pc5C1"	""	""	"bibendum mollis neque sit commodo"	""	""	""	"protocol101"	"P"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2005-05-20 00:00:00.0"	"Completed"	"TEST1112911"	"Pc5C1"	""	""	"bibendum mollis neque sit commodo"	""	""	""	"protocol101"	"P"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2008-09-20 00:00:00.0"	"Completed"	"44444"	"Pc5C0"	""	""	"multum in parvo"	""	""	"2016-01-01 00:00:00.0"	"dummyprotocol"	"P"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2008-09-20 00:00:00.0"	"Completed"	"44444"	"Pc5C1"	""	""	"labore et honore"	""	""	"2016-01-01 00:00:00.0"	"dummyprotocol"	"S"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2008-09-20 00:00:00.0"	"Completed"	"44444"	"Pc5C2"	""	""	"nomen est omen"	""	""	"2016-01-01 00:00:00.0"	"dummyprotocol"	"S"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2010-12-02 00:00:00.0"	"Completed"	"44446"	"Pc5C2"	""	""	"mare nostrum"	""	""	""	"dummyprotocol"	"P"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2010-12-02 00:00:00.0"	"Completed"	"TSTCP"	"Pc5C1"	""	""	"mare nostrum"	""	""	""	"dummyprotocol"	"P"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2010-12-02 00:00:00.0"	"Completed"	"TSTCP"	"Pc5C2"	""	""	"mare nostrum"	""	""	""	"dummyprotocol"	"S"	""	""
"2010-05-24 14:29:32.0"	""	""	""	"2010-12-02 00:00:00.0"	"Completed"	"TSTCP"	"1101324"	""	""	"mare nostrum"	""	""	""	"dummyprotocol"	"S"	""	""
