"Id"	"date"	"category"	"code"	"QCStateLabel"	"objectId"
"TEST3804589"	"2015-04-21 00:00"	"app"	"X"	"Completed"	"dbe961b9-b7ba-102d-8c2a-9926f351b9ae"
"TEST2312318"	"2012-07-17 00:00"	"app"	"X"	"Completed"	"dbee90d4-b9ba-102d-8c2a-9926f351b9ae"
"TEST5904521"	"2012-05-01 17:56:53.0"	"stool"	"X"	"Completed"	"e1bbef52-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-05-04 17:00:00.0"	"stool"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-05-01 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2013-12-02 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-01-03 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-06-04 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2013-12-05 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-01-06 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-05-07 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2013-12-08 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-01-09 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-05-10 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2013-12-11 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-01-12 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-05-13 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-12-14 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2014-01-15 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-05-16 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2013-12-17 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-01-18 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-05-19 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2013-12-20 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-01-21 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-05-22 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2013-12-23 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-01-24 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-05-25 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2013-12-26 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-01-27 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-05-28 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2013-12-29 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-01-30 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
"TEST6390238"	"2012-05-31 17:00:00.0"	"diarrhea"	"X"	"Completed"	"e1bbef53-70ae-102e-8c2a-9926f351b9ae"
